Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,290,1320,1760,1370,2300,3600,9200,6900,20400,38900
Austria,650,1700,2800,5000,7100,9100,11500,23600,48000,47000
Belgium,560,1950,3900,9200,14700,13200,17700,47000,71000,97000
Canada,3100,5100,6800,11600,16700,44000,51000,51000,87000,114000
China,15730,73000,211000,339000,580000,1090000,1060000,1140000,3250000,5900000
Denmark,510,1690,4720,1870,1330,4600,9400,32000,65000,57000
Finland,220,440,660,1420,3100,5680,7900,17200,30000,31000
France,9630,13100,22700,29400,37000,46000,62000,185000,300000,340000
Germany,6800,13500,23000,24000,54000,67000,108000,390000,690000,830000
Italy,1040,1340,2240,2700,4900,9700,17500,60000,138000,114000
Japan,29000,32000,24000,24400,54000,50000,39000,30000,45000,102000
South Korea,600,1300,3350,5030,14670,59400,35700,39700,91000,131000
Netherlands,22600,14700,44800,23100,10300,27500,66900,88000,95000,107000
Norway,8240,21700,33900,45000,62000,73000,79000,106000,148000,166000
Portugal,207,199,1120,1810,4400,8000,12700,19800,29000,34000
Spain,882,1730,2080,3500,7400,11600,17400,42000,67000,82000
Sweden,1530,4600,8700,12900,20400,29100,41000,94000,135000,163000
Switzerland,1370,2900,5700,6100,8400,9500,17300,34000,54000,59000
United Kingdom,3700,14500,29000,39000,49000,62000,75000,178000,310000,370000
USA,97000,118000,114000,160000,194000,360000,325000,294000,630000,990000
