Country,Mean,Median,Std. Dev,Min,Max,Range
Australia,16.30308,16.6875,0.858900428584258,14.9148,17.2764,2.3615999999999993
Austria,7.522319999999999,7.59155,0.3614782790462274,6.8782,7.9929,1.1147
Belgium,8.5608,8.69115,0.48546497985608267,7.6875,9.2509,1.5633999999999997
Canada,15.22836,15.47215,0.8676522372983826,13.7995,16.243,2.4434999999999985
China,7.404650000000001,7.2709,0.3639183218800614,6.9656,7.9928,1.0271999999999997
Denmark,5.8964799999999995,6.02175,0.8398755116748621,4.8578,7.424,2.5662000000000003
Finland,7.918190000000001,8.0854,0.9513165642647271,6.5267,9.5084,2.9817
France,5.010160000000001,5.07665,0.37029888888722184,4.3663,5.6602,1.2938999999999998
Germany,9.03952,9.3091,0.8708221502312244,7.7674,10.2081,2.4406999999999996
Italy,5.786839999999999,5.8233,0.2820832390940265,5.0971,6.1389,1.0417999999999994
Japan,9.181809999999999,9.206150000000001,0.6620119727853201,8.3021,10.3008,1.9987000000000013
South Korea,12.314359999999999,12.4423,0.48211573575923306,11.5274,12.9684,1.4410000000000007
Netherlands,8.862119999999999,9.218,0.9023214822519374,7.1372,9.7748,2.637600000000001
Norway,8.23047,8.363800000000001,0.501547164171914,7.5093,8.7651,1.2558000000000007
Portugal,4.60433,4.6081,0.4829124352417435,3.8812,5.3462,1.4649999999999994
Spain,5.3750100000000005,5.4382,0.436744538730722,4.5103,5.8731,1.3628
Sweden,4.1091500000000005,4.1788,0.3938763208306779,3.5381,4.6847,1.1466000000000003
Switzerland,4.47428,4.4232499999999995,0.41635759416902934,3.963,5.3388,1.3758
United Kingdom,5.85543,5.7897,0.8612490968226194,4.7202,7.4276,2.7074
USA,15.859560000000002,15.92905,1.0044527699753285,14.0341,17.168,3.133899999999999
