Row Labels,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540
Austria,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851
Belgium,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814
Canada,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
China,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
Denmark,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
Finland,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106
France,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311
Germany,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985
Italy,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425
Japan,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
Korea,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117
Netherlands,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982
Norway,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127
Portugal,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704
Spain,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340
Sweden,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941
Switzerland,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760
United Kingdom,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395
United States,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557
